Archivo,Emoción
test/01.mp4,Surprise
test/02.mp4,Surprise
test/03.mp4,Surprise
test/04.mp4,Surprise
test/05.mp4,Surprise
test/06.mp4,Surprise
test/07.mp4,Surprise
test/08.mp4,Surprise
test/09.mp4,Surprise
test/10.mp4,Surprise
test/11.mp4,Surprise
test/12.mp4,Surprise
test/13.mp4,Surprise
test/14.mp4,Surprise
test/15.mp4,Surprise
test/16.mp4,Surprise
test/17.mp4,Sadness
test/18.mp4,Surprise
test/19.mp4,Surprise
test/20.mp4,Surprise
test/21.mp4,Surprise
test/22.mp4,Surprise
test/23.mp4,Surprise
test/24.mp4,Surprise
test/25.mp4,Surprise
test/26.mp4,Surprise
test/27.mp4,Surprise
test/28.mp4,Surprise
test/29.mp4,Sadness
test/30.mp4,Surprise
